"geneID","proteinID","descrip"
"BKA90DRAFT_13786","KAE8175079.1","hypothetical protein"
"BKA90DRAFT_132841","KAE8175080.1","nucleotide-diphospho-sugar transferase"
"BKA90DRAFT_132842","KAE8175081.1","hypothetical protein"
"BKA90DRAFT_132844","KAE8175082.1","ABC1 family-domain-containing protein"
"BKA90DRAFT_132845","KAE8175083.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_132846","KAE8175084.1","hypothetical protein"
"BKA90DRAFT_132847","KAE8175085.1","6-phosphogluconate dehydrogenase"
"BKA90DRAFT_132850","KAE8175086.1","hypothetical protein"
"BKA90DRAFT_159933","KAE8175087.1","hypothetical protein"
"BKA90DRAFT_132852","KAE8175088.1","concanavalin A-like lectin/glucanase domain-containing protein"
"BKA90DRAFT_106516","KAE8175089.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_157044","KAE8175090.1","hypothetical protein"
"BKA90DRAFT_132856","KAE8175091.1","Saccharopine dehydrogenase"
"BKA90DRAFT_132857","KAE8175092.1","Rtt102p-like transcription regulator protein-domain-containing protein"
"BKA90DRAFT_132859","KAE8175093.1","hypothetical protein"
"BKA90DRAFT_132860","KAE8175094.1","hypothetical protein"
"BKA90DRAFT_132861","KAE8175095.1","hypothetical protein"
"BKA90DRAFT_132862","KAE8175096.1","EAP30/Vps36 family-domain-containing protein"
"BKA90DRAFT_132863","KAE8175097.1","hypothetical protein"
"BKA90DRAFT_13941","KAE8175098.1","nucleophile aminohydrolase"
"BKA90DRAFT_132865","KAE8175099.1","SVP1-like protein 2"
"BKA90DRAFT_132866","KAE8175100.1","NADP-dependent oxidoreductase domain-containing protein"
"BKA90DRAFT_132868","KAE8175101.1","hypothetical protein"
"BKA90DRAFT_92248","KAE8175102.1","nucleophile aminohydrolase"
"BKA90DRAFT_132870","KAE8175103.1","HIT-like domain-containing protein"
"BKA90DRAFT_132871","KAE8175104.1","cyclin-like protein"
"BKA90DRAFT_132874","KAE8175105.1","glucose-repressible alcohol dehydrogenase transcriptional effector"
"BKA90DRAFT_132875","KAE8175106.1","hypothetical protein"
"BKA90DRAFT_132876","KAE8175107.1","thioredoxin-like protein"
"BKA90DRAFT_132878","KAE8175108.1","hypothetical protein"
"BKA90DRAFT_92260","KAE8175109.1","60S ribosomal protein L11"
"BKA90DRAFT_132880","KAE8175110.1","RanBP1 domain-containing protein"
"BKA90DRAFT_132881","KAE8175111.1","hypothetical protein"
"BKA90DRAFT_126219","KAE8175112.1","S-acyl fatty acid synthase thioesterase"
"BKA90DRAFT_132886","KAE8175113.1","hypothetical protein"
"BKA90DRAFT_132888","KAE8175114.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_159956","KAE8175115.1","mitochondrial ribosomal protein subunit-domain-containing protein"
"BKA90DRAFT_92275","KAE8175116.1","anticodon binding domain of tRNAs-domain-containing protein"
"BKA90DRAFT_132895","KAE8175117.1","Ribokinase-like protein"
"BKA90DRAFT_14077","KAE8175118.1","hypothetical protein"
"BKA90DRAFT_14079","KAE8175119.1","histone-lysine N-methyltransferase, H3 lysine-4 specific"
"BKA90DRAFT_132899","KAE8175120.1","ETC complex I subunit conserved region-domain-containing protein"
"BKA90DRAFT_132900","KAE8175121.1","hypothetical protein"
"BKA90DRAFT_14090","KAE8175122.1","hypothetical protein"
"BKA90DRAFT_132906","KAE8175123.1","hypothetical protein"
"BKA90DRAFT_159963","KAE8175124.1","hypothetical protein"
"BKA90DRAFT_132911","KAE8175125.1","GNAT acetyltransferase 2-domain-containing protein"
"BKA90DRAFT_106599","KAE8175126.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_14150","KAE8175127.1","hypothetical protein"
"BKA90DRAFT_106606","KAE8175128.1","hypothetical protein"
"BKA90DRAFT_132915","KAE8175129.1","hypothetical protein"
"BKA90DRAFT_132917","KAE8175130.1","peptidase family M1-domain-containing protein"
"BKA90DRAFT_132918","KAE8175131.1","carbamoyl-phosphate synthase L chain, ATP binding domain-containing protein"
"BKA90DRAFT_132919","KAE8175132.1","hypothetical protein"
"BKA90DRAFT_132920","KAE8175133.1","HotDog domain-containing protein"
"BKA90DRAFT_132921","KAE8175134.1","Mre11 DNA-binding presumed domain-containing protein"
"BKA90DRAFT_132922","KAE8175135.1","phosphatidic acid phosphatase type 2/haloperoxidase"
"BKA90DRAFT_132925","KAE8175136.1","S-adenosylmethionine synthetase"
"BKA90DRAFT_132926","KAE8175137.1","hypothetical protein"
"BKA90DRAFT_132927","KAE8175138.1","methylenetetrahydrofolate reductase-domain-containing protein"
"BKA90DRAFT_132928","KAE8175139.1","JmjC domain, hydroxylase-domain-containing protein"
"BKA90DRAFT_144213","KAE8175140.1","hypothetical protein"
"BKA90DRAFT_14275","KAE8175141.1","pyrroline-5-carboxylate reductase dimerization-domain-containing protein"
"BKA90DRAFT_132932","KAE8175142.1","14-3-3 protein Bmh1"
"BKA90DRAFT_132935","KAE8175143.1","hypothetical protein"
"BKA90DRAFT_77800","KAE8175144.1","glycosyl hydrolase family 3 N terminal domain-containing protein"
"BKA90DRAFT_14466","KAE8175145.1","RNAse P Rpr2/Rpp21/SNM1 subunit domain-containing protein"
"BKA90DRAFT_132938","KAE8175146.1","glycosyl hydrolase family 3 N terminal domain-containing protein"
"BKA90DRAFT_132940","KAE8175147.1","nucleophile aminohydrolase"
"BKA90DRAFT_132942","KAE8175148.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_132943","KAE8175149.1","phosphatidylinositol N-acetylglucosaminyltransferase subunit C"
"BKA90DRAFT_132944","KAE8175150.1","kinase-like domain-containing protein"
"BKA90DRAFT_14489","KAE8175151.1","hypothetical protein"
"BKA90DRAFT_132946","KAE8175152.1","60S acidic ribosomal protein P0"
"BKA90DRAFT_132947","KAE8175153.1","putative serine esterase-domain-containing protein"
"BKA90DRAFT_132948","KAE8175154.1","hypothetical protein"
"BKA90DRAFT_132950","KAE8175155.1","DNA glycosylase"
"BKA90DRAFT_132953","KAE8175156.1","hypothetical protein"
"BKA90DRAFT_132954","KAE8175157.1","acyl-CoA N-acyltransferase"
"BKA90DRAFT_132955","KAE8175158.1","hypothetical protein"
"BKA90DRAFT_92380","KAE8175159.1","Homeodomain-like protein"
"BKA90DRAFT_132959","KAE8175160.1","FAD dependent oxidoreductase-domain-containing protein"
"BKA90DRAFT_132960","KAE8175161.1","hypothetical protein"
"BKA90DRAFT_132961","KAE8175162.1","tyrosine phosphatase family-domain-containing protein"
"BKA90DRAFT_106684","KAE8175163.1","Sec63 Brl domain-containing protein"
"BKA90DRAFT_132964","KAE8175164.1","emp24/gp25L/p24 family/GOLD-domain-containing protein"
"BKA90DRAFT_132965","KAE8175165.1","hypothetical protein"
"BKA90DRAFT_132966","KAE8175166.1","hypothetical protein"
"BKA90DRAFT_160004","KAE8175167.1","hypothetical protein"
"BKA90DRAFT_166010","KAE8175168.1","ammonium transporter AmtB-like domain-containing protein"
"BKA90DRAFT_132969","KAE8175169.1","outer membrane protein TOM13-domain-containing protein"
"BKA90DRAFT_132971","KAE8175170.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_132972","KAE8175171.1","RTA1 like protein-domain-containing protein"
"BKA90DRAFT_132973","KAE8175172.1","hypothetical protein"
"BKA90DRAFT_132974","KAE8175173.1","DASH complex subunit DAD1"
"BKA90DRAFT_132975","KAE8175174.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_132978","KAE8175175.1","pH-response transcription factor pacC/RIM101"
"BKA90DRAFT_132982","KAE8175176.1","hypothetical protein"
"BKA90DRAFT_14622","KAE8175177.1","phosphoribosyltransferase-like protein"
"BKA90DRAFT_132984","KAE8175178.1","glycosyl hydrolase family 76-domain-containing protein"
"BKA90DRAFT_132985","KAE8175179.1","histone H3-like centromeric protein CSE4"
"BKA90DRAFT_132986","KAE8175180.1","hypothetical protein"
"BKA90DRAFT_132987","KAE8175181.1","histidine phosphatase superfamily-domain-containing protein"
"BKA90DRAFT_160019","KAE8175182.1","Utp21 specific WD40 associated putative domain-containing protein"
"BKA90DRAFT_132990","KAE8175183.1","S-methyl-5'-thioadenosine phosphorylase"
"BKA90DRAFT_160021","KAE8175184.1","thioredoxin-like protein"
"BKA90DRAFT_132996","KAE8175185.1","hypothetical protein"
"BKA90DRAFT_133000","KAE8175186.1","hypothetical protein"
"BKA90DRAFT_133001","KAE8175187.1","HPP family-domain-containing protein"
"BKA90DRAFT_172028","KAE8175188.1","hypothetical protein"
"BKA90DRAFT_133003","KAE8175189.1","hypothetical protein"
"BKA90DRAFT_160027","KAE8175190.1","mitochondrial protein Pet127-domain-containing protein"
"BKA90DRAFT_133006","KAE8175191.1","hypothetical protein"
"BKA90DRAFT_106752","KAE8175192.1","kinase-like domain-containing protein"
"BKA90DRAFT_133007","KAE8175193.1","Calreticulin family-domain-containing protein"
"BKA90DRAFT_133008","KAE8175194.1","ferric reductase like transmembrane component-domain-containing protein"
"BKA90DRAFT_157074","KAE8175195.1","ferric reductase NAD binding domain-containing protein"
"BKA90DRAFT_157076","KAE8175196.1","FAD-binding domain-containing protein"
"BKA90DRAFT_144269","KAE8174847.1","hypothetical protein"
"BKA90DRAFT_133013","KAE8174848.1","pyridoxal phosphate-dependent transferase"
"BKA90DRAFT_77880","KAE8174849.1","hypothetical protein"
"BKA90DRAFT_133020","KAE8174850.1","2Fe-2S ferredoxin-type domain-containing protein"
"BKA90DRAFT_133022","KAE8174851.1","snare region anchored in the vesicle membrane C-terminus-domain-containing protein"
"BKA90DRAFT_106770","KAE8174852.1","hypothetical protein"
"BKA90DRAFT_133028","KAE8174853.1","hypothetical protein"
"BKA90DRAFT_166044","KAE8174854.1","hypothetical protein"
"BKA90DRAFT_126306","KAE8174855.1","hypothetical protein"
"BKA90DRAFT_157497","KAE8174856.1","hypothetical protein"
"BKA90DRAFT_133032","KAE8174857.1","Six-hairpin glycosidase-like protein"
"BKA90DRAFT_133034","KAE8174858.1","hypothetical protein"
"BKA90DRAFT_133036","KAE8174859.1","kinase-like domain-containing protein"
"BKA90DRAFT_133037","KAE8174860.1","OPT oligopeptide transporter protein-domain-containing protein"
"BKA90DRAFT_133039","KAE8174861.1","hypothetical protein"
"BKA90DRAFT_133040","KAE8174862.1","glutathione S-transferase"
"BKA90DRAFT_150446","KAE8174863.1","RNA recognition motif 2-domain-containing protein"
"BKA90DRAFT_133044","KAE8174864.1","hypothetical protein"
"BKA90DRAFT_133045","KAE8174865.1","ABC-2 type transporter-domain-containing protein"
"BKA90DRAFT_133049","KAE8174866.1","cation efflux family-domain-containing protein"
"BKA90DRAFT_133050","KAE8174867.1","peptidase family M41-domain-containing protein"
"BKA90DRAFT_133051","KAE8174868.1","hypothetical protein"
"BKA90DRAFT_133052","KAE8174869.1","hypothetical protein"
"BKA90DRAFT_133053","KAE8174870.1","E1-E2 ATPase-domain-containing protein"
"BKA90DRAFT_172051","KAE8174871.1","Nsp1-like C-terminal region-domain-containing protein"
"BKA90DRAFT_133055","KAE8174872.1","histidine phosphatase superfamily"
"BKA90DRAFT_133056","KAE8174873.1","nucleoporin Nup186/Nup192/Nup205"
"BKA90DRAFT_133058","KAE8174874.1","rotamase PTPA-1"
"BKA90DRAFT_133059","KAE8174875.1","peptidase S8/S53 domain-containing protein"
"BKA90DRAFT_133061","KAE8174876.1","kinase-like domain-containing protein"
"BKA90DRAFT_133063","KAE8174877.1","dipeptidyl peptidase IV N-terminal region-domain-containing protein"
"BKA90DRAFT_92517","KAE8174878.1","3-hydroxyanthranilate 3,4-dioxygenase"
"BKA90DRAFT_21074","KAE8174879.1","armadillo-type protein"
"BKA90DRAFT_21075","KAE8174880.1","hypothetical protein"
"BKA90DRAFT_133068","KAE8174881.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_133070","KAE8174882.1","glycerol-3-phosphate dehydrogenase [NAD(+)] 1"
"BKA90DRAFT_92529","KAE8174883.1","hypothetical protein"
"BKA90DRAFT_133074","KAE8174884.1","Presequence translocated-associated motor subunit PAM17, mitochondrial"
"BKA90DRAFT_133075","KAE8174885.1","Catenin-beta-like protein"
"BKA90DRAFT_133076","KAE8174886.1","Pre-mRNA-splicing factor SYF2"
"BKA90DRAFT_133077","KAE8174887.1","hypothetical protein"
"BKA90DRAFT_133079","KAE8174888.1","hypothetical protein"
"BKA90DRAFT_133080","KAE8174889.1","hypothetical protein"
"BKA90DRAFT_133082","KAE8174890.1","S-adenosyl-L-methionine-dependent methyltransferase"
"BKA90DRAFT_166078","KAE8174891.1","armadillo-type protein"
"BKA90DRAFT_133087","KAE8174892.1","hypothetical protein"
"BKA90DRAFT_126343","KAE8174893.1","hypothetical protein"
"BKA90DRAFT_133093","KAE8174894.1","hypothetical protein"
"BKA90DRAFT_133095","KAE8174895.1","hypothetical protein"
"BKA90DRAFT_133098","KAE8174896.1","Fcf2 pre-rRNA processing-domain-containing protein"
"BKA90DRAFT_133099","KAE8174897.1","hypothetical protein"
"BKA90DRAFT_133100","KAE8174898.1","histone-fold-containing protein"
"BKA90DRAFT_133102","KAE8174899.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_133104","KAE8174900.1","phosphatidylethanolamine-binding protein"
"BKA90DRAFT_106863","KAE8174901.1","ASTRA-associated protein 1"
"BKA90DRAFT_21253","KAE8174902.1","hypothetical protein"
"BKA90DRAFT_133109","KAE8174903.1","condensin complex subunit 2/barren"
"BKA90DRAFT_21268","KAE8174904.1","MT-A70-domain-containing protein"
"BKA90DRAFT_133111","KAE8174905.1","Cullin"
"BKA90DRAFT_172081","KAE8174906.1","hypothetical protein"
"BKA90DRAFT_133113","KAE8174907.1","glycoside hydrolase superfamily"
"BKA90DRAFT_133114","KAE8174908.1","ubiquitin-conjugating enzyme/RWD-like protein"
"BKA90DRAFT_133115","KAE8174909.1","ribonucleotide reductase"
"BKA90DRAFT_133117","KAE8174910.1","protein ROT1"
"BKA90DRAFT_160088","KAE8174911.1","hypothetical protein"
"BKA90DRAFT_133120","KAE8174912.1","YAP-binding/ALF4/Glomulin"
"BKA90DRAFT_133122","KAE8174913.1","rRNA biogenesis protein RRP36"
"BKA90DRAFT_133125","KAE8174914.1","hypothetical protein"
"BKA90DRAFT_133130","KAE8174915.1","peptide methionine sulfoxide reductase MsrA"
"BKA90DRAFT_133131","KAE8174916.1","hypothetical protein"
"BKA90DRAFT_133132","KAE8174917.1","hypothetical protein"
"BKA90DRAFT_133136","KAE8174918.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_133139","KAE8174919.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_21440","KAE8174920.1","synaptobrevin-domain-containing protein"
"BKA90DRAFT_21447","KAE8174921.1","regulator of Vps4 activity in the MVB pathway-domain-containing protein"
"BKA90DRAFT_133142","KAE8174922.1","vacuolar protein sorting-associated protein 27"
"BKA90DRAFT_133143","KAE8174923.1","putative molybdopterin binding domain-containing protein"
"BKA90DRAFT_133145","KAE8174924.1","putative polysaccharide biosynthesis protein"
"BKA90DRAFT_133146","KAE8174925.1","Pre-rRNA-processing protein ESF2"
"BKA90DRAFT_133147","KAE8174926.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_133148","KAE8174927.1","tRNA synthetases class II (A)-domain-containing protein"
"BKA90DRAFT_133150","KAE8174928.1","Sodium:solute symporter family-domain-containing protein"
"BKA90DRAFT_133151","KAE8174929.1","60S ribosomal protein L42"
"BKA90DRAFT_21505","KAE8174930.1","AP complex, mu/sigma subunit"
"BKA90DRAFT_92643","KAE8174931.1","Serine/threonine-protein kinase CBK1"
"BKA90DRAFT_106944","KAE8174932.1","hypothetical protein"
"BKA90DRAFT_133164","KAE8174933.1","hypothetical protein"
"BKA90DRAFT_133165","KAE8174934.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_157538","KAE8174935.1","pyridoxamine 5'-phosphate oxidase-domain-containing protein"
"BKA90DRAFT_133170","KAE8174936.1","amino acid permease-domain-containing protein"
"BKA90DRAFT_77899","KAE8174937.1","hypothetical protein"
"BKA90DRAFT_133172","KAE8174938.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_133174","KAE8174939.1","inorganic phosphate transporter Pho88"
"BKA90DRAFT_133176","KAE8174940.1","kinetochore protein Mis14 like-domain-containing protein"
"BKA90DRAFT_21596","KAE8174941.1","hypothetical protein"
"BKA90DRAFT_133180","KAE8174942.1","hypothetical protein"
"BKA90DRAFT_126393","KAE8174943.1","hypothetical protein"
"BKA90DRAFT_21621","KAE8174944.1","cytosolic Fe-S cluster assembly factor NAR1"
"BKA90DRAFT_133190","KAE8174945.1","hypothetical protein"
"BKA90DRAFT_133192","KAE8174946.1","autophagy-related protein 11"
"BKA90DRAFT_21672","KAE8174947.1","hypothetical protein"
"BKA90DRAFT_126397","KAE8174948.1","OPT oligopeptide transporter protein-domain-containing protein"
"BKA90DRAFT_166134","KAE8174949.1","hypothetical protein"
"BKA90DRAFT_133197","KAE8174950.1","hypothetical protein"
"BKA90DRAFT_21689","KAE8174951.1","Rpp14/Pop5 family-domain-containing protein"
"BKA90DRAFT_21692","KAE8174952.1","RNA cap guanine-N2 methyltransferase-domain-containing protein"
"BKA90DRAFT_21728","KAE8174953.1","hypothetical protein"
"BKA90DRAFT_133205","KAE8174954.1","hypothetical protein"
"BKA90DRAFT_133209","KAE8174955.1","kinase-like domain-containing protein"
"BKA90DRAFT_133211","KAE8174956.1","Yos1-like protein"
"BKA90DRAFT_133212","KAE8174957.1","hypothetical protein"
"BKA90DRAFT_133214","KAE8174958.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_21817","KAE8174959.1","RmlC-like cupin domain-containing protein"
"BKA90DRAFT_133217","KAE8174960.1","hypothetical protein"
"BKA90DRAFT_133219","KAE8174961.1","iron sulfur cluster assembly protein 1, mitochondrial"
"BKA90DRAFT_133221","KAE8174962.1","hypothetical protein"
"BKA90DRAFT_107009","KAE8174963.1","hypothetical protein"
"BKA90DRAFT_133224","KAE8174964.1","putative zinc finger protein"
"BKA90DRAFT_157553","KAE8174965.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_133226","KAE8174966.1","hypothetical protein"
"BKA90DRAFT_133227","KAE8174967.1","cytochrome P450"
"BKA90DRAFT_133231","KAE8174968.1","hypothetical protein"
"BKA90DRAFT_133232","KAE8174969.1","pheromone-processing carboxypeptidase KEX1"
"BKA90DRAFT_133234","KAE8174970.1","hypothetical protein"
"BKA90DRAFT_133236","KAE8174971.1","hypothetical protein"
"BKA90DRAFT_160142","KAE8174972.1","hypothetical protein"
"BKA90DRAFT_107033","KAE8174973.1","inhibitor of apoptosis-promoting Bax1-domain-containing protein"
"BKA90DRAFT_133239","KAE8174974.1","HotDog domain-containing protein"
"BKA90DRAFT_133240","KAE8174975.1","thioredoxin-like protein"
"BKA90DRAFT_133242","KAE8174976.1","CTP synthase N-terminus-domain-containing protein"
"BKA90DRAFT_21940","KAE8174977.1","hypothetical protein"
"BKA90DRAFT_77849","KAE8174978.1","hypothetical protein"
"BKA90DRAFT_133246","KAE8174979.1","hypothetical protein"
"BKA90DRAFT_133247","KAE8174980.1","hypothetical protein"
"BKA90DRAFT_133252","KAE8174981.1","hypothetical protein"
"BKA90DRAFT_133255","KAE8174982.1","dolichol phosphate-mannose biosynthesis regulatory"
"BKA90DRAFT_133256","KAE8174983.1","peptidase M18"
"BKA90DRAFT_133257","KAE8174984.1","hypothetical protein"
"BKA90DRAFT_166164","KAE8174985.1","hypothetical protein"
"BKA90DRAFT_133263","KAE8174986.1","chaperonin 10-like protein"
"BKA90DRAFT_22010","KAE8174987.1","pre-mRNA processing factor 3-domain-containing protein"
"BKA90DRAFT_133266","KAE8174988.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_133269","KAE8174989.1","hypothetical protein"
"BKA90DRAFT_92765","KAE8174990.1","hypothetical protein"
"BKA90DRAFT_144399","KAE8174991.1","hypothetical protein"
"BKA90DRAFT_133271","KAE8174992.1","NO signaling/Golgi transport ligand-binding domain-containing protein"
"BKA90DRAFT_133272","KAE8174993.1","acyl-CoA N-acyltransferase"
